gesture,0.5,0.6,0.7,0.8
learn,2297,2315,2320,2171
me,2000,1946,1727,1248
you,1921,1871,1636,1186
like,2292,2262,2214,2104
meet,2384,2384,2383,2350
nice,2382,2379,2362,2288
sorry,2357,2340,2221,1855
up,2371,2370,2300,2033
help,2102,1978,1583,901
how,2180,2135,1963,1519
wait,2384,2384,2384,2363
where,2388,2388,2387,2377
love,2176,2077,1859,1372
see,1778,1741,1659,1493
hello,2361,2342,2322,2272
house,2288,2227,2070,1705
name,1969,1908,1837,1703
